[-79.886971, 19.340546]
[-79.857819, 19.340546]
[-79.828667, 19.340546]
[-79.799522, 19.340546]
[-79.77037, 19.340546]
[-79.741219, 19.340546]
[-79.712067, 19.340546]
[-79.682915, 19.340546]
[-79.65377, 19.340546]
[-79.624619, 19.340546]
[-79.595467, 19.340546]
[-79.566315, 19.340546]
[-79.537163, 19.340546]
[-79.508018, 19.340546]
[-79.478867, 19.340546]
[-79.449715, 19.340546]
[-79.420563, 19.340546]
[-79.391411, 19.340546]
[-79.362267, 19.340546]
[-79.333115, 19.340546]
[-79.303963, 19.340546]
[-79.274811, 19.340546]
[-79.245659, 19.340546]
[-79.216515, 19.340546]
[-79.187363, 19.340546]
[-79.158211, 19.340546]
[-79.129059, 19.340546]
[-79.099907, 19.340546]
[-79.070763, 19.340546]
[-79.041611, 19.340546]
[-79.012459, 19.340546]
[-78.983307, 19.340546]
[-78.954163, 19.340546]
[-78.925011, 19.340546]
[-78.895859, 19.340546]
[-78.866707, 19.340546]
[-78.837555, 19.340546]
[-78.808411, 19.340546]
[-78.779259, 19.340546]
[-78.750107, 19.340546]
[-78.720955, 19.340546]
[-78.691803, 19.340546]
[-78.662659, 19.340546]
[-78.633507, 19.340546]
[-78.604355, 19.340546]
[-78.575203, 19.340546]
[-78.546051, 19.340546]
[-78.516907, 19.340546]
[-78.487755, 19.340546]
[-78.458603, 19.340546]
[-78.429451, 19.340546]
[-78.400299, 19.340546]
[-78.371155, 19.340546]
[-78.342003, 19.340546]
[-78.312851, 19.340546]
[-78.283699, 19.340546]
[-78.254547, 19.340546]
[-78.225403, 19.340546]
[-78.196251, 19.340546]
[-78.167099, 19.340546]
[-78.137947, 19.340546]
[-78.108795, 19.340546]
[-78.079651, 19.340546]
[-78.050499, 19.340546]
[-78.021347, 19.340546]
[-77.992195, 19.340546]
[-77.963043, 19.340546]
[-77.933899, 19.340546]
[-77.904747, 19.340546]
[-77.875595, 19.340546]
[-77.846443, 19.340546]
[-77.817291, 19.340546]
[-77.788147, 19.340546]
[-77.758995, 19.340546]
[-77.729843, 19.340546]
[-77.700691, 19.340546]
[-77.671539, 19.340546]
[-77.642395, 19.340546]
[-77.613243, 19.340546]
[-77.584091, 19.340546]
[-77.554939, 19.340546]
[-77.525795, 19.340546]
[-77.496643, 19.340546]
[-77.467491, 19.340546]
[-77.438339, 19.340546]
[-77.409187, 19.340546]
[-77.380043, 19.340546]
[-77.350891, 19.340546]
[-77.321739, 19.340546]
[-77.292587, 19.340546]
[-77.263435, 19.340546]
[-77.234291, 19.340546]
[-77.205139, 19.340546]
[-77.175987, 19.340546]
[-77.146835, 19.340546]
[-77.117683, 19.340546]
[-77.088539, 19.340546]
[-77.059387, 19.340546]
[-77.030235, 19.340546]
[-77.001083, 19.340546]
[-76.971931, 19.340546]
[-76.942787, 19.340546]
[-76.913635, 19.340546]
[-76.884483, 19.340546]
[-76.855331, 19.340546]
[-76.82618, 19.340546]
[-76.797035, 19.340546]
[-76.767883, 19.340546]
[-76.738731, 19.340546]
[-76.709579, 19.340546]
[-76.680428, 19.340546]
[-76.651283, 19.340546]
[-76.622131, 19.340546]
[-76.592979, 19.340546]
[-76.563828, 19.340546]
[-76.534676, 19.340546]
[-76.505531, 19.340546]
[-76.476379, 19.340546]
[-76.447227, 19.340546]
[-76.418076, 19.340546]
[-76.388924, 19.340546]
[-76.359779, 19.340546]
[-76.330627, 19.340546]
[-76.301476, 19.340546]
[-76.272324, 19.340546]
[-76.243179, 19.340546]
[-76.214027, 19.340546]
[-76.184875, 19.340546]
[-76.155724, 19.340546]
[-76.126572, 19.340546]
[-76.097427, 19.340546]
[-76.068275, 19.340546]
[-76.039124, 19.340546]
[-76.009972, 19.340546]
[-75.98082, 19.340546]
[-75.951675, 19.340546]
[-75.922523, 19.340546]
[-75.893372, 19.340546]
[-75.86422, 19.340546]
[-75.835068, 19.340546]
[-75.805923, 19.340546]
[-75.776772, 19.340546]
[-75.74762, 19.340546]
[-75.718468, 19.340546]
[-75.689316, 19.340546]
[-75.660172, 19.340546]
[-75.63102, 19.340546]
[-75.601868, 19.340546]
[-75.572716, 19.340546]
[-75.543564, 19.340546]
[-75.51442, 19.340546]
[-75.485268, 19.340546]
[-75.456116, 19.340546]
[-75.426964, 19.340546]
[-75.397812, 19.340546]
[-75.368668, 19.340546]
[-75.339516, 19.340546]
[-75.310364, 19.340546]
[-75.281212, 19.340546]
[-75.25206, 19.340546]
[-75.222916, 19.340546]
[-75.193764, 19.340546]
[-75.164612, 19.340546]
[-75.13546, 19.340546]
[-75.106308, 19.340546]
[-75.077164, 19.340546]
[-75.048012, 19.340546]
[-75.01886, 19.340546]
[-74.989708, 19.340546]
[-74.960556, 19.340546]
[-74.931412, 19.340546]
[-74.90226, 19.340546]
[-74.873108, 19.340546]
[-74.843956, 19.340546]
[-74.814804, 19.340546]
[-74.78566, 19.340546]
[-74.756508, 19.340546]
[-74.727356, 19.340546]
[-74.698204, 19.340546]
[-74.66906, 19.340546]
[-74.639908, 19.340546]
[-74.610756, 19.340546]
[-74.581604, 19.340546]
[-74.552452, 19.340546]
[-74.523308, 19.340546]
[-74.494156, 19.340546]
[-74.465004, 19.340546]
[-74.435852, 19.340546]
[-74.4067, 19.340546]
[-74.377556, 19.340546]
[-74.348404, 19.340546]
[-74.319252, 19.340546]
[-74.2901, 19.340546]
[-74.260948, 19.340546]
[-74.231804, 19.340546]
[-74.202652, 19.340546]
[-74.1735, 19.340546]
[-74.144348, 19.340546]
[-74.115196, 19.340546]
[-74.086052, 19.340546]
[-74.0569, 19.340546]
[-74.027748, 19.340546]
[-73.998596, 19.340546]
[-73.969444, 19.340546]
[-73.9403, 19.340546]
[-73.911148, 19.340546]
[-73.881996, 19.340546]
[-73.852844, 19.340546]
[-73.823692, 19.340546]
[-73.794548, 19.340546]
[-73.765396, 19.340546]
[-85.717041, 19.368042]
[-85.687889, 19.368042]
[-85.658745, 19.368042]
[-85.629593, 19.368042]
[-85.600441, 19.368042]
[-85.571289, 19.368042]
[-85.542137, 19.368042]
[-85.512993, 19.368042]
[-85.483841, 19.368042]
[-85.454689, 19.368042]
[-85.425537, 19.368042]
[-85.396385, 19.368042]
[-85.367241, 19.368042]
[-85.338089, 19.368042]
[-85.308937, 19.368042]
[-85.279785, 19.368042]
[-85.250633, 19.368042]
[-85.221489, 19.368042]
[-85.192337, 19.368042]
[-85.163185, 19.368042]
[-85.134033, 19.368042]
[-85.104881, 19.368042]
[-85.075737, 19.368042]
[-85.046585, 19.368042]
[-85.017433, 19.368042]
[-84.988281, 19.368042]
[-84.959129, 19.368042]
[-84.929985, 19.368042]
[-84.900833, 19.368042]
[-84.871681, 19.368042]
[-84.842529, 19.368042]
[-84.813377, 19.368042]
[-84.784233, 19.368042]
[-84.755081, 19.368042]
[-84.725929, 19.368042]
[-84.696777, 19.368042]
[-84.667633, 19.368042]
[-84.638481, 19.368042]
[-84.609329, 19.368042]
[-84.580177, 19.368042]
[-84.551025, 19.368042]
[-84.521881, 19.368042]
[-84.492729, 19.368042]
[-84.463577, 19.368042]
[-84.434425, 19.368042]
[-84.405273, 19.368042]
[-84.376129, 19.368042]
[-84.346977, 19.368042]
[-84.317825, 19.368042]
[-84.288673, 19.368042]
[-84.259521, 19.368042]
[-84.230377, 19.368042]
[-84.201225, 19.368042]
[-84.172073, 19.368042]
[-84.142921, 19.368042]
[-84.11377, 19.368042]
[-84.084625, 19.368042]
[-84.055473, 19.368042]
[-84.026321, 19.368042]
[-83.997169, 19.368042]
[-83.968018, 19.368042]
[-83.938873, 19.368042]
[-83.909721, 19.368042]
[-83.880569, 19.368042]
[-83.851418, 19.368042]
[-83.822266, 19.368042]
[-83.793121, 19.368042]
[-83.763969, 19.368042]
[-83.734818, 19.368042]
[-83.705666, 19.368042]
[-83.676514, 19.368042]
[-83.647369, 19.368042]
[-83.618217, 19.368042]
[-83.589066, 19.368042]
[-83.559914, 19.368042]
[-83.530762, 19.368042]
[-83.501617, 19.368042]
[-83.472466, 19.368042]
[-83.443314, 19.368042]
[-83.414162, 19.368042]
[-83.38501, 19.368042]
[-83.355865, 19.368042]
[-83.326714, 19.368042]
[-83.297562, 19.368042]
[-83.26841, 19.368042]
[-83.239258, 19.368042]
[-83.210114, 19.368042]
[-83.180962, 19.368042]
[-83.15181, 19.368042]
[-83.122658, 19.368042]
[-83.093513, 19.368042]
[-83.064362, 19.368042]
[-83.03521, 19.368042]
[-83.006058, 19.368042]
[-82.976906, 19.368042]
[-82.947762, 19.368042]
[-82.91861, 19.368042]
[-82.889458, 19.368042]
[-82.860306, 19.368042]
[-82.831154, 19.368042]
[-82.80201, 19.368042]
[-82.772858, 19.368042]
[-82.743706, 19.368042]
[-82.714554, 19.368042]
[-82.685402, 19.368042]
[-82.656258, 19.368042]
[-82.627106, 19.368042]
[-82.597954, 19.368042]
[-82.568802, 19.368042]
[-82.53965, 19.368042]
[-82.510506, 19.368042]
[-82.481354, 19.368042]
[-82.452202, 19.368042]
[-82.42305, 19.368042]
[-82.393898, 19.368042]
[-82.364754, 19.368042]
[-82.335602, 19.368042]
[-82.30645, 19.368042]
[-82.277298, 19.368042]
[-82.248146, 19.368042]
[-82.219002, 19.368042]
[-82.18985, 19.368042]
[-82.160698, 19.368042]
[-82.131546, 19.368042]
[-82.102394, 19.368042]
[-82.07325, 19.368042]
[-82.044098, 19.368042]
[-82.014946, 19.368042]
[-81.985794, 19.368042]
[-81.956642, 19.368042]
[-81.927498, 19.368042]
[-81.898346, 19.368042]
[-81.869194, 19.368042]
[-81.840042, 19.368042]
[-81.810898, 19.368042]
[-81.781746, 19.368042]
[-81.752594, 19.368042]
[-81.723442, 19.368042]
[-81.69429, 19.368042]
[-81.665146, 19.368042]
[-81.635994, 19.368042]
[-81.606842, 19.368042]
[-81.57769, 19.368042]
[-81.548538, 19.368042]
[-81.519394, 19.368042]
[-81.490242, 19.368042]
[-81.46109, 19.368042]
[-81.431938, 19.368042]
[-81.402786, 19.368042]
[-81.373642, 19.368042]
[-81.34449, 19.368042]
[-81.315338, 19.368042]
[-81.286186, 19.368042]
[-81.257034, 19.368042]
[-81.22789, 19.368042]
[-81.198738, 19.368042]
[-81.169586, 19.368042]
[-81.140434, 19.368042]
[-81.111282, 19.368042]
[-81.082138, 19.368042]
[-81.052986, 19.368042]
[-81.023834, 19.368042]
[-80.994682, 19.368042]
[-80.96553, 19.368042]
[-80.936386, 19.368042]
[-80.907234, 19.368042]
[-80.878082, 19.368042]
[-80.84893, 19.368042]
[-80.819778, 19.368042]
[-80.790634, 19.368042]
[-80.761482, 19.368042]
[-80.73233, 19.368042]
[-80.703178, 19.368042]
[-80.674026, 19.368042]
[-80.644882, 19.368042]
[-80.61573, 19.368042]
[-80.586578, 19.368042]
[-80.557426, 19.368042]
[-80.528275, 19.368042]
[-80.49913, 19.368042]
[-80.469978, 19.368042]
[-80.440826, 19.368042]
[-80.411674, 19.368042]
[-80.38253, 19.368042]
[-80.353378, 19.368042]
[-80.324226, 19.368042]
[-80.295074, 19.368042]
[-80.265923, 19.368042]
[-80.236778, 19.368042]
[-80.207626, 19.368042]
[-80.178474, 19.368042]
[-80.149323, 19.368042]
[-80.120171, 19.368042]
[-80.091026, 19.368042]
[-80.061874, 19.368042]
[-80.032722, 19.368042]
[-80.003571, 19.368042]
[-79.974419, 19.368042]
[-79.945274, 19.368042]
[-79.916122, 19.368042]
[-79.886971, 19.368042]
[-79.857819, 19.368042]
[-79.828667, 19.368042]
[-79.799522, 19.368042]
[-79.77037, 19.368042]
[-79.741219, 19.368042]
[-79.712067, 19.368042]
[-79.682915, 19.368042]
[-79.65377, 19.368042]
[-79.624619, 19.368042]
[-79.595467, 19.368042]
[-79.566315, 19.368042]
[-79.537163, 19.368042]
[-79.508018, 19.368042]
[-79.478867, 19.368042]
[-79.449715, 19.368042]
[-79.420563, 19.368042]
[-79.391411, 19.368042]
[-79.362267, 19.368042]
[-79.333115, 19.368042]
[-79.303963, 19.368042]
[-79.274811, 19.368042]
[-79.245659, 19.368042]
[-79.216515, 19.368042]
[-79.187363, 19.368042]
[-79.158211, 19.368042]
[-79.129059, 19.368042]
[-79.099907, 19.368042]
[-79.070763, 19.368042]
[-79.041611, 19.368042]
[-79.012459, 19.368042]
[-78.983307, 19.368042]
[-78.954163, 19.368042]
[-78.925011, 19.368042]
[-78.895859, 19.368042]
[-78.866707, 19.368042]
[-78.837555, 19.368042]
[-78.808411, 19.368042]
[-78.779259, 19.368042]
[-78.750107, 19.368042]
[-78.720955, 19.368042]
[-78.691803, 19.368042]
[-78.662659, 19.368042]
[-78.633507, 19.368042]
[-78.604355, 19.368042]
[-78.575203, 19.368042]
[-78.546051, 19.368042]
[-78.516907, 19.368042]
[-78.487755, 19.368042]
[-78.458603, 19.368042]
[-78.429451, 19.368042]
[-78.400299, 19.368042]
[-78.371155, 19.368042]
[-78.342003, 19.368042]
[-78.312851, 19.368042]
[-78.283699, 19.368042]
[-78.254547, 19.368042]
[-78.225403, 19.368042]
[-78.196251, 19.368042]
[-78.167099, 19.368042]
[-78.137947, 19.368042]
[-78.108795, 19.368042]
[-78.079651, 19.368042]
[-78.050499, 19.368042]
[-78.021347, 19.368042]
[-77.992195, 19.368042]
[-77.963043, 19.368042]
[-77.933899, 19.368042]
[-77.904747, 19.368042]
[-77.875595, 19.368042]
[-77.846443, 19.368042]
[-77.817291, 19.368042]
[-77.788147, 19.368042]
[-77.758995, 19.368042]
[-77.729843, 19.368042]
[-77.700691, 19.368042]
[-77.671539, 19.368042]
[-77.642395, 19.368042]
[-77.613243, 19.368042]
[-77.584091, 19.368042]
[-77.554939, 19.368042]
[-77.525795, 19.368042]
[-77.496643, 19.368042]
[-77.467491, 19.368042]
[-77.438339, 19.368042]
[-77.409187, 19.368042]
[-77.380043, 19.368042]
[-77.350891, 19.368042]
[-77.321739, 19.368042]
[-77.292587, 19.368042]
[-77.263435, 19.368042]
[-77.234291, 19.368042]
[-77.205139, 19.368042]
[-77.175987, 19.368042]
[-77.146835, 19.368042]
[-77.117683, 19.368042]
[-77.088539, 19.368042]
[-77.059387, 19.368042]
[-77.030235, 19.368042]
[-77.001083, 19.368042]
[-76.971931, 19.368042]
[-76.942787, 19.368042]
[-76.913635, 19.368042]
[-76.884483, 19.368042]
[-76.855331, 19.368042]
[-76.82618, 19.368042]
[-76.797035, 19.368042]
[-76.767883, 19.368042]
[-76.738731, 19.368042]
[-76.709579, 19.368042]
[-76.680428, 19.368042]
[-76.651283, 19.368042]
[-76.622131, 19.368042]
[-76.592979, 19.368042]
[-76.563828, 19.368042]
[-76.534676, 19.368042]
[-76.505531, 19.368042]
[-76.476379, 19.368042]
[-76.447227, 19.368042]
[-76.418076, 19.368042]
[-76.388924, 19.368042]
[-76.359779, 19.368042]
[-76.330627, 19.368042]
[-76.301476, 19.368042]
[-76.272324, 19.368042]
[-76.243179, 19.368042]
[-76.214027, 19.368042]
[-76.184875, 19.368042]
[-76.155724, 19.368042]
[-76.126572, 19.368042]
[-76.097427, 19.368042]
[-76.068275, 19.368042]
[-76.039124, 19.368042]
[-76.009972, 19.368042]
[-75.98082, 19.368042]
[-75.951675, 19.368042]
[-75.922523, 19.368042]
[-75.893372, 19.368042]
[-75.86422, 19.368042]
[-75.835068, 19.368042]
[-75.805923, 19.368042]
[-75.776772, 19.368042]
[-75.74762, 19.368042]
[-75.718468, 19.368042]
[-75.689316, 19.368042]
[-75.660172, 19.368042]
[-75.63102, 19.368042]
[-75.601868, 19.368042]
[-75.572716, 19.368042]
[-75.543564, 19.368042]
[-75.51442, 19.368042]
[-75.485268, 19.368042]
[-75.456116, 19.368042]
[-75.426964, 19.368042]
[-75.397812, 19.368042]
[-75.368668, 19.368042]
[-75.339516, 19.368042]
[-75.310364, 19.368042]
[-75.281212, 19.368042]
[-75.25206, 19.368042]
[-75.222916, 19.368042]
[-75.193764, 19.368042]
[-75.164612, 19.368042]
[-75.13546, 19.368042]
[-75.106308, 19.368042]
[-75.077164, 19.368042]
[-75.048012, 19.368042]
[-75.01886, 19.368042]
[-74.989708, 19.368042]
[-74.960556, 19.368042]
[-74.931412, 19.368042]
[-74.90226, 19.368042]
[-74.873108, 19.368042]
[-74.843956, 19.368042]
[-74.814804, 19.368042]
[-74.78566, 19.368042]
[-74.756508, 19.368042]
[-74.727356, 19.368042]
[-74.698204, 19.368042]
[-74.66906, 19.368042]
[-74.639908, 19.368042]
[-74.610756, 19.368042]
[-74.581604, 19.368042]
[-74.552452, 19.368042]
[-74.523308, 19.368042]
[-74.494156, 19.368042]
[-74.465004, 19.368042]
[-74.435852, 19.368042]
[-74.4067, 19.368042]
[-74.377556, 19.368042]
[-74.348404, 19.368042]
[-74.319252, 19.368042]
[-74.2901, 19.368042]
[-74.260948, 19.368042]
[-74.231804, 19.368042]
[-74.202652, 19.368042]
[-74.1735, 19.368042]
[-74.144348, 19.368042]
[-74.115196, 19.368042]
[-74.086052, 19.368042]
[-74.0569, 19.368042]
[-74.027748, 19.368042]
[-73.998596, 19.368042]
[-73.969444, 19.368042]
[-73.9403, 19.368042]
[-73.911148, 19.368042]
[-73.881996, 19.368042]
[-73.852844, 19.368042]
[-73.823692, 19.368042]
[-73.794548, 19.368042]
[-73.765396, 19.368042]
[-85.717041, 19.395538]
[-85.687889, 19.395538]
[-85.658745, 19.395538]
[-85.629593, 19.395538]
[-85.600441, 19.395538]
[-85.571289, 19.395538]
[-85.542137, 19.395538]
[-85.512993, 19.395538]
[-85.483841, 19.395538]
[-85.454689, 19.395538]
[-85.425537, 19.395538]
[-85.396385, 19.395538]
[-85.367241, 19.395538]
[-85.338089, 19.395538]
[-85.308937, 19.395538]
[-85.279785, 19.395538]
[-85.250633, 19.395538]
[-85.221489, 19.395538]
[-85.192337, 19.395538]
[-85.163185, 19.395538]
[-85.134033, 19.395538]
[-85.104881, 19.395538]
[-85.075737, 19.395538]
[-85.046585, 19.395538]
[-85.017433, 19.395538]
[-84.988281, 19.395538]
[-84.959129, 19.395538]
[-84.929985, 19.395538]
[-84.900833, 19.395538]
